Trajectories
100
,,mechanicle_knee:thigh1,,,mechanicle_knee:thigh2,,,mechanicle_knee:thigh3,,,mechanicle_knee:thigh4,,,mechanicle_knee:thigh5,,,mechanicle_knee:shank1,,,mechanicle_knee:shank2,,,mechanicle_knee:shank3,,,mechanicle_knee:shank4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
60,0,83.0817,100.049,130.451,24.9489,61.6297,130.052,98.5448,26.6419,128.954,59.5879,9.39244,129.187,11.9341,179.326,143.545,-27.4819,298.835,146.511,-83.2116,268.253,146.247,0.642966,258.556,145.798,-42.8328,210.988,145.064
61,0,83.1182,100.148,130.391,24.9526,61.648,130.049,98.5543,26.6638,128.942,59.5848,9.41101,129.18,11.933,179.321,143.577,-27.4532,298.861,146.514,-83.1881,268.293,146.247,0.666202,258.579,145.79,-42.8215,211.026,145.063
62,0,83.0853,100.045,130.438,24.9813,61.6501,130.032,98.5725,26.6622,128.939,59.6118,9.41315,129.173,11.9639,179.341,143.543,-27.3837,298.881,146.498,-83.131,268.326,146.231,0.713685,258.595,145.775,-42.7798,211.047,145.05
63,0,83.1031,100.059,130.421,24.9947,61.6646,130.028,98.5903,26.6692,128.929,59.6366,9.41912,129.173,12.0063,179.358,143.517,-27.3221,298.892,146.496,-83.0615,268.368,146.222,0.757978,258.608,145.752,-42.7381,211.076,145.048
64,0,83.185,100.19,130.387,25.0173,61.6742,130.051,98.6058,26.68,128.966,59.6501,9.43406,129.203,12.0143,179.376,143.529,-27.2739,298.913,146.481,-83.0354,268.418,146.22,0.800471,258.635,145.753,-42.7252,211.106,145.051
65,0,83.1629,100.114,130.438,25.0211,61.683,130.081,98.6091,26.6902,128.97,59.6476,9.43573,129.215,12.0321,179.388,143.545,-27.213,298.937,146.494,-82.9852,268.452,146.247,0.82922,258.646,145.763,-42.7085,211.131,145.066
66,0,83.1593,100.082,130.458,25.0135,61.6783,130.095,98.606,26.6765,128.982,59.6475,9.42125,129.226,12.0269,179.37,143.551,-27.1735,298.954,146.511,-82.968,268.485,146.256,0.86121,258.648,145.769,-42.6854,211.146,145.07
67,0,83.1669,100.061,130.459,25.0222,61.6586,130.074,98.6103,26.6456,128.962,59.6507,9.4041,129.212,12.0726,179.393,143.494,-27.1181,298.939,146.508,-82.9335,268.49,146.239,0.894241,258.641,145.754,-42.6717,211.137,145.068
68,0,83.1688,100.047,130.437,25.0302,61.6358,130.06,98.6315,26.6247,128.951,59.6645,9.3864,129.197,12.1175,179.347,143.509,-27.0744,298.929,146.458,-82.8864,268.506,146.221,0.922536,258.626,145.734,-42.6429,211.147,145.045
69,0,83.1957,100.049,130.442,25.0349,61.624,130.074,98.6292,26.6143,128.963,59.6723,9.37704,129.227,12.1113,179.354,143.534,-27.0288,298.941,146.5,-82.858,268.521,146.239,0.951189,258.608,145.741,-42.6164,211.15,145.058
70,0,83.2062,100.05,130.454,25.0364,61.6236,130.093,98.6271,26.6116,128.984,59.6758,9.3637,129.243,12.0827,179.376,143.579,-26.9816,298.958,146.515,-82.8158,268.56,146.262,0.982254,258.631,145.771,-42.6112,211.172,145.091
71,0,83.2094,100.05,130.47,25.042,61.6392,130.113,98.6248,26.6381,129.009,59.6728,9.3859,129.256,12.1068,179.397,143.568,-26.9331,299.008,146.527,-82.7837,268.617,146.278,1.02142,258.643,145.784,-42.6054,211.209,145.095
72,0,83.2196,100.089,130.476,25.0576,61.6701,130.114,98.6365,26.6566,129.009,59.6877,9.41473,129.272,12.1377,179.427,143.566,-26.8907,299.052,146.499,-82.741,268.683,146.268,1.06405,258.686,145.759,-42.5795,211.262,145.091
73,0,83.2102,100.074,130.464,25.0605,61.6901,130.1,98.6498,26.6706,128.971,59.6957,9.43332,129.25,12.1398,179.472,143.528,-26.8235,299.095,146.458,-82.6899,268.748,146.239,1.1007,258.705,145.704,-42.548,211.319,145.053
74,0,83.1918,100.077,130.449,25.0678,61.7065,130.084,98.6539,26.6783,128.967,59.7041,9.4546,129.241,12.1598,179.496,143.505,-26.7562,299.142,146.44,-82.6301,268.814,146.219,1.14727,258.718,145.675,-42.5295,211.368,145.039
75,0,83.1962,100.097,130.448,25.0616,61.707,130.085,98.6348,26.6942,128.977,59.6845,9.45889,129.242,12.1523,179.509,143.524,-26.7086,299.178,146.457,-82.6196,268.862,146.221,1.16947,258.752,145.712,-42.5326,211.406,145.049
76,0,83.1717,100.183,130.386,25.0525,61.7147,130.115,98.6353,26.708,129.008,59.6779,9.46763,129.271,12.1112,179.53,143.564,-26.6848,299.212,146.482,-82.5858,268.917,146.264,1.1846,258.777,145.741,-42.5332,211.446,145.072
77,0,83.1751,100.162,130.411,25.0509,61.7048,130.126,98.6209,26.7088,129.027,59.6766,9.45554,129.281,12.1409,179.516,143.563,-26.6379,299.22,146.516,-82.5769,268.938,146.289,1.19941,258.763,145.759,-42.5326,211.439,145.093
78,0,83.1704,100.117,130.417,25.0596,61.6805,130.109,98.6522,26.6775,128.989,59.6838,9.42838,129.265,12.1448,179.488,143.564,-26.6141,299.194,146.504,-82.5458,268.915,146.273,1.22181,258.726,145.747,-42.5135,211.424,145.08
79,0,83.2011,100.125,130.396,25.0553,61.6493,130.081,98.6551,26.6397,128.97,59.6947,9.40336,129.22,12.1584,179.47,143.533,-26.6097,299.165,146.493,-82.5365,268.883,146.246,1.24525,258.702,145.725,-42.495,211.399,145.057
80,0,83.174,100.033,130.431,25.0514,61.6326,130.061,98.6411,26.6153,128.952,59.6989,9.38147,129.202,12.1685,179.461,143.505,-26.5853,299.148,146.477,-82.5165,268.878,146.233,1.25358,258.692,145.725,-42.5049,211.389,145.039
81,0,83.2003,100.063,130.447,25.0506,61.633,130.084,98.6393,26.6136,128.982,59.688,9.38114,129.234,12.1103,179.445,143.529,-26.5926,299.166,146.508,-82.5242,268.893,146.271,1.2479,258.695,145.755,-42.506,211.39,145.072
82,0,83.2271,100.088,130.464,25.0529,61.6361,130.118,98.633,26.6388,129.011,59.6894,9.38185,129.257,12.1248,179.482,143.536,-26.5888,299.151,146.508,-82.5225,268.907,146.283,1.2456,258.7,145.767,-42.5107,211.398,145.082
83,0,83.2271,100.189,130.361,25.0506,61.6459,130.114,98.633,26.6367,129.007,59.6777,9.38958,129.264,12.1463,179.463,143.562,-26.5805,299.194,146.524,-82.5291,268.924,146.285,1.24545,258.706,145.758,-42.5084,211.412,145.08
84,0,83.175,100.069,130.444,25.0477,61.6497,130.108,98.6396,26.6476,129.003,59.6769,9.40101,129.259,12.1367,179.48,143.553,-26.5708,299.188,146.5,-82.5162,268.928,146.254,1.25413,258.709,145.735,-42.5123,211.418,145.067
85,0,83.1962,100.19,130.339,25.0413,61.6451,130.092,98.6259,26.6419,128.997,59.6793,9.39555,129.265,12.1481,179.494,143.518,-26.5964,299.182,146.478,-82.5276,268.921,146.232,1.23842,258.721,145.722,-42.5123,211.421,145.051
86,0,83.1521,100.111,130.393,25.0445,61.6638,130.104,98.6221,26.6475,129.004,59.6741,9.40843,129.274,12.0793,179.485,143.513,-26.5992,299.196,146.477,-82.5303,268.928,146.24,1.23602,258.726,145.719,-42.5202,211.425,145.056
